[[-0.15237643488397884, 0.23882814920483159], [-1.6886451335021286, 0.6052802104954996], [-0.8233146377028071, 0.550255150708348], [-0.8225949781407333, 0.17740094513217539], [-1.0784073949488326, 0.5891753901241259], [-1.1277868751689148, 0.5940713220978248]]
[[-0.15237197570421468, 0.2383200214941179], [-1.6875110673517792, 0.6046673237719481], [-0.8222350780504846, 0.5506640302769762], [-0.8213566989912793, 0.17808194602158317], [-1.077851573634375, 0.5890639303220786], [-1.126181266869307, 0.5927269219279708]]
[[-0.1523672053493292, 0.23781111822886009], [-1.6863730656180882, 0.6040532250754032], [-0.821153046472765, 0.5510717068752918], [-0.8201152957288367, 0.17876208755269718], [-1.0772932998747196, 0.5889512568255575], [-1.1245725945278113, 0.5913809374306479]]
[[-0.1523621238979661, 0.2373014421540103], [-1.6852311312921149, 0.6034379173330024], [-0.8200685452174282, 0.5514781808676977], [-0.8188707715096087, 0.1794413692255375], [-1.0767325741601568, 0.5888373714037829], [-1.122960862844724, 0.5900333737020779]]
[[-0.15235673142945022, 0.23679099601642598], [-1.6840852673746238, 0.6028214034747181], [-0.8189815765392542, 0.5518834526215505], [-0.8176231294991579, 0.18011979054245816], [-1.0761693969872663, 0.5887222758283693], [-1.1213460765299283, 0.5886842358428365]]
[[-0.1523510280237854, 0.23627978256485757], [-1.6829354768760758, 0.6022036864333542], [-0.8178921427000134, 0.5522875225071598], [-0.8163723728723942, 0.18079735100814828], [-1.0756037688589204, 0.588605971873324], [-1.1197282403028783, 0.5873335289578383]]
[[-0.15234501376165602, 0.23576780454994115], [-1.6817817628166203, 0.6015847691445272], [-0.8168002459684636, 0.5526903908977818], [-0.8151185048135677, 0.18147405012962675], [-1.075035690284284, 0.5884884613150313], [-1.118107358892589, 0.5859812581563155]]
[[-0.15233868872442274, 0.23525506472418525], [-1.6806241282260856, 0.6009646545466623], [-0.8157058886203395, 0.5530920581696158], [-0.8138615285162594, 0.182149887416246], [-1.0744651617788123, 0.5883697459322509], [-1.1164834370376153, 0.5846274285518043]]
[[-0.1523320529941237, 0.23474156584196498], [-1.6794625761439703, 0.600343345580978], [-0.8146090729383488, 0.5534925247018042], [-0.8126014471833714, 0.18282486237968984], [-1.073892183864257, 0.588249827506107], [-1.1148564794860407, 0.5832720452621281]]
[[-0.15232510665347151, 0.2342273106595091], [-1.6782971096194306, 0.5997208451914783], [-0.8135098012121611, 0.5538917908764266], [-0.8113382640271148, 0.18349897453397335], [-1.073316757068659, 0.5881287078200821], [-1.11322649099546, 0.5819151134093806]]
